Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1522451925.514	   199.029	0	0	0	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/partialsums && timeout --signal=TERM 6m time ./partialsums.exe   < /dev/stdin > /dev/null
1	:	1522451925.500	   360.605	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/ASC_Sequoia/AMGmk && timeout --signal=TERM 6m time ./AMGmk.exe  < /dev/stdin > /dev/null
2	:	1522451925.502	   360.606	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/ASC_Sequoia/CrystalMk && timeout --signal=TERM 6m time ./CrystalMK.exe  < /dev/stdin > /dev/null
3	:	1522451925.504	   360.608	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/ASC_Sequoia/IRSmk && timeout --signal=TERM 6m time ./IRSmk.exe  irsmk_input  < /dev/stdin > /dev/null
4	:	1522451925.506	   360.611	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/fannkuch && timeout --signal=TERM 6m time ./fannkuch.exe   < /dev/stdin > /dev/null
5	:	1522451925.509	   360.612	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/n-body && timeout --signal=TERM 6m time ./nbody.exe   < /dev/stdin > /dev/null
6	:	1522451925.511	   360.616	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/nsieve-bits && timeout --signal=TERM 6m time ./nsieve-bits.exe   < /dev/stdin > /dev/null
8	:	1522451925.517	   360.615	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/puzzle && timeout --signal=TERM 6m time ./puzzle.exe   < /dev/stdin > /dev/null
9	:	1522451925.519	   360.621	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/recursive && timeout --signal=TERM 6m time ./recursive.exe   < /dev/stdin > /dev/null
10	:	1522451925.528	   360.617	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BenchmarkGame/spectral-norm && timeout --signal=TERM 6m time ./spectral-norm.exe   < /dev/stdin > /dev/null
11	:	1522452124.549	   360.466	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BitBench/drop3 && timeout --signal=TERM 6m time ./drop3.exe  input-file  < /dev/stdin > /dev/null
12	:	1522452286.109	   360.595	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BitBench/five11 && timeout --signal=TERM 6m time ./five11.exe  input-file  < /dev/stdin > /dev/null
13	:	1522452286.113	   360.596	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BitBench/uudecode && timeout --signal=TERM 6m time ./uudecode.exe  input-file  < /dev/stdin > /dev/null
14	:	1522452286.117	   360.595	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/BitBench/uuencode && timeout --signal=TERM 6m time ./uuencode.exe  input  < /dev/stdin > /dev/null
15	:	1522452286.122	   360.595	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/CoyoteBench/almabench && timeout --signal=TERM 6m time ./almabench.exe   < /dev/stdin > /dev/null
16	:	1522452286.127	   360.594	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/CoyoteBench/huffbench && timeout --signal=TERM 6m time ./huffbench.exe   < /dev/stdin > /dev/null
17	:	1522452286.133	   360.594	0	0	124	0	cd /home/guilhermel/Programs/tf_faun/Benchs/CoyoteBench/lpbench && timeout --signal=TERM 6m time ./lpbench.exe   < /dev/stdin > /dev/null
